Country,Maker/Brand,Type,Group_Segment,Segment,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,Total
Czech Republic,Skoda,Cars,Passenger,Passenger C,70151,67992,67600,65470,61282,22482,0,0,0,0,Central/Eastern Europe,354977
Czech Republic,Skoda,Cars,Passenger,Passenger C,0,0,0,0,0,34756,53708,37112,29357,42574,Central/Eastern Europe,197507
Czech Republic,Skoda,Cars,Passenger,Passenger D,45552,84550,84103,80183,72777,65918,58134,44712,43314,48529,Central/Eastern Europe,627772
Czech Republic,Skoda,Cars,SUV,SUV-C,0,0,0,0,0,11686,73778,83777,69386,87432,Central/Eastern Europe,326059
Czech Republic,Skoda,Cars,SUV,SUV-C,0,0,0,4199,70320,100634,81498,75794,67058,84863,Central/Eastern Europe,484366
Czech Republic,Skoda,Cars,SUV,SUV-C,0,0,1457,56366,91726,113514,72184,61894,70418,81810,Central/Eastern Europe,549369
Czech Republic,Skoda,Cars,SUV,SUV-C,66717,89893,62632,47943,720,0,0,0,0,0,Central/Eastern Europe,267905
Czech Republic,Skoda,Cars,SUV,SUV-D,0,0,0,0,0,0,0,45987,54295,81733,Central/Eastern Europe,182015
Czech Republic,Skoda,Cars,MPV,MPV,27728,10336,0,0,0,0,0,0,0,0,Central/Eastern Europe,38064
Czech Republic,SEAT,Cars,Passenger,Passenger C,16541,19728,12446,8884,8128,1110,0,0,0,0,Central/Eastern Europe,66837
Czech Republic,SEAT,Cars,SUV,SUV-C,0,0,29716,95845,93132,114264,89605,74618,60497,82615,Central/Eastern Europe,640292
Czech Republic,Toyota,Cars,Passenger,Passenger A,72500,91750,86682,88679,95688,102521,82982,84254,79974,0,Central/Eastern Europe,785030
Czech Republic,Toyota,Cars,Passenger,Passenger B,0,0,0,0,0,0,0,0,125897,130226,Central/Eastern Europe,256123
Czech Republic,Toyota,Cars,SUV,SUV-A,0,0,0,0,0,0,0,0,0,89315,Central/Eastern Europe,89315
Czech Republic,Peugeot (2021-),Cars,Passenger,Passenger A,0,0,0,0,0,0,0,37761,0,0,Central/Eastern Europe,37761
Czech Republic,Citroen (2021-),Cars,Passenger,Passenger A,0,0,0,0,0,0,0,37667,0,0,Central/Eastern Europe,37667
Czech Republic,Hyundai,Cars,Passenger,Passenger C,96257,108311,89810,89936,90938,86572,63147,60947,55233,49642,Central/Eastern Europe,790793
Czech Republic,Hyundai,Cars,SUV,SUV-C,0,0,0,0,0,0,36212,46767,45255,39688,Central/Eastern Europe,167922
Czech Republic,Hyundai,Cars,SUV,SUV-C,97658,135072,182268,179203,162808,161959,135701,173133,171351,176166,Central/Eastern Europe,1575319
Czech Republic,Hyundai,Cars,MPV,MPV,38700,36795,35433,33325,23334,17995,0,0,0,0,Central/Eastern Europe,185582
Czech Republic,Peugeot (-2020),Cars,Passenger,Passenger A,20000,0,0,0,0,0,0,0,0,0,Central/Eastern Europe,20000
Czech Republic,Peugeot (-2020),Cars,Passenger,Passenger A,46000,86539,77110,69327,71950,64997,49071,0,0,0,Central/Eastern Europe,464994
Czech Republic,Citroen (-2020),Cars,Passenger,Passenger A,64600,76120,72007,63036,62225,59048,46900,0,0,0,Central/Eastern Europe,443936
